Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Ylma Cake's],Price [Ylma Cake's],In stock [Ylma Cake's],Low stock [Ylma Cake's]
água-com-gás-500ml,10115,Água com Gás 500ml,Bebidas,,N,,,,,,,0.00,,,,Y,Y,5.00,25.000,
agua-com-gás,10050,Água sem Gás 500ml,Bebidas,,N,,,,,,,0.00,,,,Y,Y,4.00,38.000,
água-tônica-1,10114,Água Tônica,Bebidas,,N,,,,,,,0.00,,,,Y,Y,6.50,8.000,
aipim-cozido----charque,10004,Aipim Cozido  - Charque,Café da Manhã,"<p>Carne, ovo, tomate, alface e cebola</p>",N,,,,,,,0.00,,,,Y,Y,30.00,6.000,
aipim-cozido---calabresa,10005,Aipim Cozido - Calabresa,Café da Manhã,"<p>Aipim, calabresa, ovo, tomate, alface e cebola</p>",N,,,,,,,0.00,,,,Y,Y,30.00,0.000,
aipim-cozido---carne-do-sol,10007,Aipim Cozido - Carne do Sol,Café da Manhã,"<p>Carne, Ovo, tomate, alface e cebola</p>",N,,,,,,,0.00,,,,Y,Y,30.00,0.000,
aipim-cozido---fumfito,10008,Aipim Cozido - Fumeiro,Café da Manhã,"<p>Carne de fumeiro, ovo, tomate, alface, cebola</p>",N,,,,,,,0.00,,,,Y,Y,30.00,0.000,
aipim-cozido---calabresa-1,10006,Aipim Cozido - Ovos,Café da Manhã,"<p>Ovos, tomate, alface, cebola</p>",N,,,,,,,0.00,,,,Y,Y,25.00,0.000,
aquarius-fresh,10047,Aquarius Fresh,Bebidas,,N,,,,,,,0.00,,,,Y,Y,7.50,4.000,
banana-da-terra---porção,10016,Banana da Terra - Porção,Café da Manhã,<p>Por&ccedil;&atilde;o de banana da terra</p>,N,,,,,,,0.00,,,,Y,Y,18.00,0.000,
basta-doce---porção,10015,Batata Doce - Porção,Café da Manhã,<p>Por&ccedil;&atilde;o de batata doce cozida</p>,N,,,,,,,0.00,,,,Y,Y,13.00,0.000,
batata-frita---porção,10031,Batata Frita - Porção,Petiscos,,N,,,,,,,0.00,,,,Y,Y,20.00,0.000,
bolo-(fatia),10056,Bolo (fatia),Lanches,,N,,,,,,,0.00,,,,Y,Y,10.00,0.000,
bolo-de-pote,10057,Bolo de Pote,Lanches,,N,,,,,,,0.00,,,,N,Y,8.00,,
café-com-leite-(média),10074,Café com Leite (média),Bebidas,<p>X&iacute;cara m&eacute;dia de caf&eacute;</p>,N,,,,,,,0.00,,,,N,Y,6.00,,
café-com-leite-(pequeno),10075,Café com Leite (pequeno),Bebidas,<p>X&iacute;cara pequena</p>,N,,,,,,,0.00,,,,N,Y,3.00,,
cafe-expresso,10069,Cafe Expresso,Lanches,,N,,,,,,,0.00,,,,N,Y,5.00,,
café-s/-leite-(pequeno),10076,Café s/ Leite (pequeno),Bebidas,<p>X&iacute;cara pequena</p>,N,,,,,,,0.00,,,,N,Y,2.00,,
café-sem-leite-(média),10077,Café sem Leite (média),Bebidas,<p>X&iacute;cara m&eacute;dia</p>,N,,,,,,,0.00,,,,N,Y,4.00,,
caipirinha-de-abacaxi,10108,Caipirinha de Abacaxi,Bebidas,,N,,,,,,,0.00,,,,N,Y,15.00,,
caipirinha-de-acerola,10109,Caipirinha de Acerola,Bebidas,,N,,,,,,,0.00,,,,N,Y,15.00,,
caipirinha-de-limão,10104,Caipirinha de Limão,Bebidas,,N,,,,,,,0.00,,,,N,Y,15.00,,
caipirinha-de-limão-1,10105,Caipirinha de Limão,Bebidas,,N,,,,,,,0.00,,,,N,Y,15.00,,
caipirinha-de-maracujá,10106,Caipirinha de Maracujá,Bebidas,,N,,,,,,,0.00,,,,N,Y,18.00,,
caipirinha-de-tangerina,10107,Caipirinha de Tangerina,Bebidas,,N,,,,,,,0.00,,,,N,Y,15.00,,
caldo-de-sururu,10073,Caldo de Sururu,Petiscos,,N,,,,,,,0.00,,,,N,Y,15.00,,
camarão-encapado,10072,Camarão Encapado,Petiscos,,N,,,,,,,0.00,,,,N,Y,35.00,,
capuccino,10068,Capuccino,Bebidas,,N,,,,,,,0.00,,,,N,Y,9.00,,
chá-artesanal-(diversos),10052,Chá Artesanal (diversos),Bebidas,"<p><font dir=""auto"" style=""vertical-align: inherit;""><font dir=""auto"" style=""vertical-align: inherit;"">400 ml</font></font></p>",N,,,,,,,0.00,,,,N,Y,9.00,,
chocolate-gelado,10032,Chocolate Gelado,Bebidas,,N,,,,,,,0.00,,,,N,Y,10.00,,
chocolate-quente,10033,Chocolate Quente,Bebidas,,N,,,,,,,0.00,,,,N,Y,15.00,,
codorna,10071,Codorna,Petiscos,,N,,,,,,,0.00,,,,N,Y,18.00,,
coquetel-de-frutas-(diversas),10096,Coquetel de Frutas (diversas),Bebidas,<p>Coquetel de Frutas sem alcool</p>,N,,,,,,,0.00,,,,N,Y,20.00,,
coxinha,10059,Coxinha,Lanches,,N,,,,,,,0.00,,,,N,Y,8.00,,
coxinha-especial,10060,Coxinha Especial,Lanches,"<p><font dir=""auto"" style=""vertical-align: inherit;""><font dir=""auto"" style=""vertical-align: inherit;"">Cm catupiri ou outros</font></font></p>",N,,,,,,,0.00,,,,N,Y,10.00,,
cupcake,10058,Cupcake,Lanches,,N,,,,,,,0.00,,,,N,Y,5.00,,
cuscuz-com-leite-de-côco,10014,Cuscuz com Leite de Côco,Café da Manhã,,N,,,,,,,0.00,,,,N,Y,18.00,,
cuscuz-de-tapioca,10017,Cuscuz de Tapioca,Café da Manhã,"<p>Tapioca, leite de c&ocirc;co</p>",N,,,,,,,0.00,,,,N,Y,13.00,,
cuscuz-temperado---calabresa,10001,Cuscuz Temperado - Calabresa,Café da Manhã,"<p>Calabresa, ovo, alface tomate, cebola</p>",N,,,,,,,0.00,,,,N,Y,30.00,,
cuscuz-temperado---carne-do-sol,10002,Cuscuz Temperado - Carne do Sol,Café da Manhã,"<p>Carne do Sol, ovo, alface, tomate, cebola</p>",N,,,,,,,0.00,,,,N,Y,30.00,,
cuscuz-temperado---carne-seca,10099,Cuscuz Temperado - Carne Seca,Café da Manhã,"<p>Carne seca, ovo, queijo coalho, tomate e cebola</p>",N,,,,,,,0.00,,,,N,Y,35.00,,
cuscuz-temperado---charque,10000,Cuscuz Temperado - Charque,Café da Manhã,"<p>Charque, ovo, tomate, alface e cebola</p>",N,,,,,,,0.00,,,,N,Y,30.00,,
cuscuz-temperado---fumeiro,10003,Cuscuz Temperado - Fumeiro,Café da Manhã,,N,,,,,,,0.00,,,,N,Y,30.00,,
cuscuz-temperado---ovos,10009,Cuscuz Temperado - Ovos,Café da Manhã,"<p>Dois ovos, tomate, alface e cebola</p>",N,,,,,,,0.00,,,,N,Y,25.00,,
empada,10062,Empada,Lanches,,N,,,,,,,0.00,,,,N,Y,8.00,,
empada-doce,10063,Empada Doce,Lanches,,N,,,,,,,0.00,,,,N,Y,8.00,,
escondidinho-de-camarão,10030,Escondidinho de Camarão,Petiscos,,N,,,,,,,0.00,,,,Y,Y,25.00,0.000,
escondidinho-de-carne-do-sol,10029,Escondidinho de Carne do Sol,Petiscos,,N,,,,,,,0.00,,,,Y,Y,22.00,0.000,
h2o,10048,H2O,Bebidas,,N,,,,,,,0.00,,,,N,Y,7.50,,
hambúrguer-artesanal,10013,Hambúrguer Artesanal,Café da Manhã,"<p>P&atilde;o especial, carne, calabresa, bacon, queijo, presunto, tomate, alface e cebola</p>",N,,,,,,,0.00,,,,Y,Y,30.00,0.000,
ice-tea-(chá-gelado)-mate-c/gás,10110,Ice Tea (chá gelado) Mate c/gás,Bebidas,,N,,,,,,,0.00,,,,Y,Y,variable,6.000,
kibe-frito,10054,Kibe Frito,Lanches,,N,,,,,,,0.00,,,,N,Y,12.00,,
misto-quente,10018,Misto Quente,Café da Manhã,"<p>P&atilde;o, queijo e presunto</p>",N,,,,,,,0.00,,,,N,Y,12.00,,
mousse,10065,Mousse,Lanches,,N,,,,,,,0.00,,,,N,Y,6.00,,
omelete-de-carne,10020,Omelete de Carne,Café da Manhã,,N,,,,,,,0.00,,,,N,Y,24.00,,
omelete-de-frango,10019,Omelete de Frango,Café da Manhã,,N,,,,,,,0.00,,,,N,Y,22.00,,
ovo-frito,10098,Ovo Frito,Café da Manhã,<p>Ovo frito</p>,N,,,,,,,0.00,,,,N,Y,3.00,,
pao-de-queijo,10066,Pao de Queijo,Lanches,,N,,,,,,,0.00,,,,N,Y,7.00,,
pão-delícia,10067,Pão Delícia,Lanches,,N,,,,,,,0.00,,,,N,Y,11.00,,
camarão,10027,Pastel de Camarão,Pastel,,N,,,,,,,0.00,,,,Y,Y,19.00,0.000,
carne,10023,Pastel de Carne,Pastel,,N,,,,,,,0.00,,,,N,Y,14.00,,
carne-com-queijo,10024,Pastel de Carne com Queijo,Pastel,,N,,,,,,,0.00,,,,N,Y,16.00,,
carne-seca,10026,Pastel de Carne Seca,Pastel,,N,,,,,,,0.00,,,,N,Y,19.00,,
pastel-de-forno,10061,Pastel de Forno,Lanches,,N,,,,,,,0.00,,,,N,Y,8.00,,
frango,10022,Pastel de Frango,Pastel,,N,,,,,,,0.00,,,,N,Y,12.00,,
toscana-com-requeijão,10021,Pastel de Toscana com Requeijão,Pastel,,N,,,,,,,0.00,,,,Y,Y,15.00,0.000,
misto,10025,Pastel Misto,Pastel,,N,,,,,,,0.00,,,,N,Y,14.00,,
pastel-três-queijos,10028,Pastel Três Queijos,Pastel,,N,,,,,,,0.00,,,,Y,Y,17.00,0.000,
pizza-de-atum-(brotinho),10093,Pizza de Atum (brotinho),Pizza,<p>molho de tomate e mussarela e cebola</p>,N,,,,,,,0.00,,,,N,Y,19.00,,
pizza-de-atum-(grande),10087,Pizza de Atum (grande),Pizza,<p>molho de tomate e mussarela</p>,N,,,,,,,0.00,,,,N,Y,55.00,,
pizza-de-calabresa-(brotinho),10090,Pizza de Calabresa (brotinho),Pizza,<p>molho de tomate e mussarela</p>,N,,,,,,,0.00,,,,N,Y,15.00,,
pizza-de-calabresa-(grande),10081,Pizza de Calabresa (Grande),Pizza,<p>Molho de Tomate e Mussarela</p>,N,,,,,,,0.00,,,,N,Y,42.00,,
pizza-de-camarão-(grande),10086,Pizza de Camarão (grande),Pizza,<p>molho de tomate e mussarela</p>,N,,,,,,,0.00,,,,N,Y,60.00,,
pizza-de-frango-(grande),10089,Pizza de Frango (grande),Pizza,<p>molho de tomate e mussarela</p>,N,,,,,,,0.00,,,,N,Y,40.00,,
pizza-de-frango-com-bacon-e-catupiri-(grande),10083,Pizza de Frango com Bacon e catupiri (grande),Pizza,<p>Molho de tomate e mussarela</p>,N,,,,,,,0.00,,,,N,Y,46.00,,
pizza-de-frango-com-catupiry-(brotinho),10091,Pizza de Frango com Catupiry (brotinho),Pizza,<p>molho de tomate e mussarela</p>,N,,,,,,,0.00,,,,N,Y,17.00,,
pizza-de-frango-com-catupiri-(grande),10082,Pizza de Frango com Catupiry (grande),Pizza,<p>Molho de tomate e mussarela</p>,N,,,,,,,0.00,,,,N,Y,45.00,,
pizza-portuguesa-(brotinho),10092,Pizza Portuguesa (brotinho),Pizza,"<p>presunto, ovo, cebola, or&eacute;gano&nbsp; e azeitona</p>",N,,,,,,,0.00,,,,N,Y,18.00,,
pizza-portuguesa,10084,Pizza Portuguesa (grande),Pizza,"<p>Presunto, ovo, tomate, cebola, or&eacute;gano e azeitona</p>",N,,,,,,,0.00,,,,N,Y,40.00,,
pizza-sertaneja-(grande),10088,Pizza Sertaneja (grande),Pizza,"<p>carne seca, queijo coalho e banana da terra</p>",N,,,,,,,0.00,,,,N,Y,55.00,,
pizza-três-queijos,10085,Pizza Três Queijos,Pizza,"<p>provolone, gorgonzola e queijo coalho</p>",N,,,,,,,0.00,,,,N,Y,60.00,,
pizza-três-queijos-(brotinho),10094,Pizza Três Queijos (brotinho),Pizza,"<p>provolone, gorgonzola e queijo coalho&nbsp;</p>",N,,,,,,,0.00,,,,N,Y,20.00,,
pudim,10064,Pudim,Lanches,,N,,,,,,,0.00,,,,N,Y,5.00,,
refrigerante-1-litro,10097,Refrigerante 1 litro (Coca cola),Bebidas,<p>Coca Cola</p>,N,,,,,,,0.00,,,,Y,Y,10.00,12.000,
refrigerante-1-litro-fanta,10046,Refrigerante 1 litro (Fanta),Bebidas,,N,,,,,,,0.00,,,,Y,Y,10.00,12.000,
refrigerante-lata,10045,Refrigerante Lata 350ml Coca Cola,Bebidas,"<p>Coca, Fanta, Guaran&aacute;, Lim&atilde;o 350ml</p>",N,,,,,,,0.00,,,,Y,Y,6.00,19.000,
refrigerante-lata-sprite-350ml,10113,Refrigerante Lata 350ml Sprite,Bebidas,,N,,,,,,,0.00,,,,Y,Y,6.00,20.000,
refrigerante-limon-fresh,10116,Refrigerante Limon Fresh,Bebidas,,N,,,,,,,0.00,,,,N,Y,7.50,,
refrigerante-pet-200ml-coca-cola,10051,Refrigerante pet 200ml Coca Cola,Bebidas,,N,,,,,,,0.00,,,,Y,Y,variable,12.000,
refrigerante-pet-200ml-lar,10111,Refrigerante pet 200ml Fanta,Bebidas,,N,,,,,,,0.00,,,,Y,Y,3.00,12.000,
refrigerante-pet-600ml-coca-cola,10049,Refrigerante pet 600ml Coca Cola,Bebidas,,N,,,,,,,0.00,,,,Y,Y,7.50,12.000,
refrigertante-lata-350ml--lar,10112,Refrigertante Lata 350ml  (Fanta),Bebidas,,N,,,,,,,0.00,,,,Y,Y,6.00,16.000,
roska-de-abacaxi,10101,Roska de Abacaxi,Bebidas,,N,,,,,,,0.00,,,,N,Y,18.00,,
